@relation intel-weka.filters.unsupervised.attribute.Remove-R2-16_denormalized-weka.filters.unsupervised.instance.Denormalize-Gfirst-AAverage-S-weka.filters.unsupervised.attribute.Remove-R1_clustered

@attribute Instance_number numeric
@attribute Average_comfort numeric
@attribute Average_risk numeric
@attribute Average_approp numeric
@attribute Cluster {cluster0,cluster1}

@data
0,1.642857,1.785714,2.142857,cluster1
1,2.5,2.928571,2.428571,cluster1
2,1.5,2.142857,1.357143,cluster1
3,5.357143,5.571429,5.428571,cluster0
4,1.714286,2.571429,2.285714,cluster1
5,2.142857,3.357143,2.5,cluster1
6,2.571429,2.5,2.285714,cluster1
7,4.214286,3.857143,3.357143,cluster0
8,1,1.071429,1,cluster1
9,1.785714,1.428571,1.357143,cluster1
10,3.285714,3.214286,3.214286,cluster0
11,1.857143,3,2.428571,cluster1
12,4.642857,5.214286,4.928571,cluster0
13,2.714286,3.428571,3,cluster0
14,3.5,3.857143,4,cluster0
15,1.857143,1.5,1.642857,cluster1
16,2.357143,2.857143,2.714286,cluster1
17,1.785714,2.428571,2.714286,cluster1
18,2.5,2.714286,2.571429,cluster1
19,1.142857,1.714286,1.357143,cluster1
20,2.285714,2.928571,2.428571,cluster1
21,2.214286,4.071429,3.214286,cluster0
22,3,3.357143,2.214286,cluster0
23,2.785714,2.857143,2.785714,cluster0
24,2.928571,4.071429,2.928571,cluster0
25,2.571429,4.071429,3.428571,cluster0
26,1.5,1.785714,1.571429,cluster1
27,2.857143,3.071429,2.857143,cluster0
28,1.714286,2.357143,2.142857,cluster1
29,1.714286,2.142857,1.5,cluster1
30,1.428571,1.285714,1.357143,cluster1
31,4.357143,4.428571,3.285714,cluster0
32,2.071429,2.642857,2.5,cluster1
33,1.714286,1.785714,1.5,cluster1
34,1.642857,2.785714,1.857143,cluster1
35,2.428571,2.857143,3.071429,cluster0
36,2.5,2.571429,2.5,cluster1
37,1.357143,1.428571,1.357143,cluster1
38,1.714286,2.714286,1.785714,cluster1
39,1,1,1,cluster1
40,2.285714,2.714286,2.071429,cluster1
41,3.571429,4.142857,4,cluster0
42,2.214286,2.071429,2.071429,cluster1
43,3.642857,3.928571,3.5,cluster0
44,2.5,3.214286,2.714286,cluster0
45,3.571429,4.357143,3.5,cluster0
46,3.5,3.5,3.5,cluster0
47,1,1.071429,1.214286,cluster1
48,3.357143,3.5,3.357143,cluster0
49,2.571429,2.785714,2.714286,cluster1
50,2,3.142857,2.642857,cluster1
51,3.357143,3.571429,3.214286,cluster0
52,3.642857,4.5,3.571429,cluster0
53,2.785714,3.928571,3.428571,cluster0
54,2.357143,2.285714,2.285714,cluster1
55,3.214286,4.214286,2.857143,cluster0
56,2.214286,2.714286,2.285714,cluster1
57,1.857143,2.357143,2.071429,cluster1
58,2.357143,2.214286,2.285714,cluster1
59,1,1,1,cluster1
60,3.214286,1.857143,1.785714,cluster1
61,3.285714,3.5,3.428571,cluster0
62,3.714286,3.357143,3.071429,cluster0
63,3.142857,3.571429,2.785714,cluster0
64,1.571429,2.428571,2,cluster1
65,2.214286,4.357143,3,cluster0
66,1,1.928571,1.071429,cluster1
67,1.714286,2.071429,1.785714,cluster1
68,2.928571,4.071429,3.714286,cluster0
69,2.571429,2.714286,2.642857,cluster1
70,2.071429,2.785714,2.571429,cluster1
71,2.142857,5,2.142857,cluster0
72,2.785714,3.357143,3.428571,cluster0
73,1.714286,2,1.928571,cluster1
74,3.142857,3.285714,3,cluster0
75,1.857143,2.714286,2.428571,cluster1
76,1.928571,2.357143,2.142857,cluster1
77,1.428571,1,1,cluster1
78,2.571429,3.142857,2.571429,cluster1
79,2.214286,2.428571,2.428571,cluster1
80,4.071429,4,4.357143,cluster0
81,3.285714,3.5,3.571429,cluster0
82,1,1.785714,1.714286,cluster1
83,1.571429,2.428571,2.357143,cluster1
84,2.428571,2.428571,2.714286,cluster1
85,1,1,1,cluster1
86,1.5,1.857143,1.428571,cluster1
87,2.5,4.142857,2.857143,cluster0
88,3.285714,3.357143,3.285714,cluster0
89,2.928571,3.428571,3.571429,cluster0
90,2.142857,2.571429,2.142857,cluster1
91,3.142857,3.285714,3.642857,cluster0
92,2.214286,2.714286,2.214286,cluster1
93,2.928571,3.214286,3.214286,cluster0
94,1.5,1.5,1.5,cluster1
95,2.214286,2.428571,2.571429,cluster1
96,2.142857,2.428571,2.285714,cluster1
97,4.071429,5.285714,3.5,cluster0
98,2.5,3.357143,2.857143,cluster0
99,3.214286,4.071429,4,cluster0
100,3.285714,3.5,3.5,cluster0
101,2.357143,3.714286,2.714286,cluster0
102,1.928571,2.642857,2.642857,cluster1
103,1.857143,2.285714,2.857143,cluster1
104,1.785714,4.285714,1.642857,cluster1
105,2,2.285714,2.285714,cluster1
106,1.285714,1.571429,1.571429,cluster1
107,3.428571,3.5,3.642857,cluster0
108,3.571429,3.642857,3.428571,cluster0
109,2.857143,2.642857,2.642857,cluster1
110,1.357143,1.857143,1.428571,cluster1
111,3.071429,2.642857,3.071429,cluster0
112,2.642857,2.785714,2.642857,cluster1
113,3.285714,3.714286,3.428571,cluster0
114,3.285714,2.928571,2.928571,cluster0
115,2.142857,2.5,2.5,cluster1
116,2.857143,3.142857,2.857143,cluster0
117,2.928571,3.5,3.214286,cluster0
118,2.357143,3.214286,3.357143,cluster0
119,3,4,3.142857,cluster0
120,4.071429,4.357143,3.857143,cluster0
121,2.785714,4.214286,3.857143,cluster0
122,2.5,2.857143,2.5,cluster1
123,2.5,2.642857,2.571429,cluster1
124,2.714286,3.785714,3.714286,cluster0
125,2.785714,3.428571,3.214286,cluster0
126,1.285714,1.857143,1.142857,cluster1
127,2.428571,2.928571,2.642857,cluster1
128,2.142857,3.571429,2.5,cluster1
129,2.642857,3.642857,2.785714,cluster0
130,1.5,1.285714,1.214286,cluster1
131,3.571429,3.285714,3.785714,cluster0
132,1.5,2.214286,1.928571,cluster1
133,4.285714,3.571429,3.857143,cluster0
134,2.214286,2.785714,3.142857,cluster1
135,1.071429,1.428571,1.571429,cluster1
136,1.928571,2.142857,2,cluster1
137,4,3.928571,3.928571,cluster0
