@relation intel

@attribute id numeric
@attribute scenario numeric
@attribute who {a,b,c,d,e,f,g}
@attribute what {a,b,c,d,e,f,g,h,i,k,l,n,o,p,q,s,t,u,v,w,x,y,z,zb}
@attribute persistence {once,continuous}
@attribute reason {a,b,c,d,e,f}
@attribute where {a,b,c,d}
@attribute notify {yes,no}
@attribute nalways {once,always,blank}
@attribute notify_combined {notify_me_always,notify_me_once,do_not_notify_me}
@attribute five.one {notify_me_always,other_two}
@attribute allow {yes,no}
@attribute aalways {always,once}
@attribute allow_combined {yesalways,yesonce,noalways,noonce}
@attribute seven.one {yesalways,others}
@attribute score_allow numeric
@attribute comfort numeric
@attribute risk numeric
@attribute approp numeric
@attribute cluster {cluster0,cluster1,cluster2,cluster3,cluster4}

@data
3,5750,c,b,continuous,d,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,2,2,cluster4
3,5760,d,c,once,e,b,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster4
3,5770,b,a,once,c,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,2,3,cluster4
3,5780,c,p,once,e,b,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,2,3,cluster4
3,5790,e,d,continuous,f,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,2,2,cluster4
3,5800,d,q,continuous,f,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,2,3,cluster4
3,5810,a,z,once,c,b,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,2,1,cluster4
3,5820,f,e,once,f,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,2,3,cluster4
3,5830,g,f,continuous,a,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,2,3,cluster4
3,5840,e,o,once,f,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,2,3,cluster4
3,5850,f,s,continuous,a,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,3,3,3,cluster4
3,5860,b,o,continuous,d,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster4
3,5870,a,n,continuous,b,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster4
3,5880,g,t,once,b,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster4
4,6730,f,z,once,a,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,2,1,cluster2
4,6740,b,v,once,d,d,no,blank,do_not_notify_me,other_two,yes,always,yesalways,yesalways,3,4,4,4,cluster2
4,6750,a,g,once,b,b,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,7,2,1,cluster2
4,6760,e,y,continuous,f,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster2
4,6770,c,w,continuous,e,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,3,2,cluster2
4,6780,c,i,once,d,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,4,4,cluster2
4,6790,g,a,once,a,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,3,3,3,cluster2
4,6800,d,d,continuous,e,a,yes,once,notify_me_once,other_two,no,once,noonce,others,1,3,5,5,cluster2
4,6810,a,u,continuous,c,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,2,2,cluster2
4,6820,d,x,once,f,b,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,3,3,cluster2
4,6830,f,l,continuous,f,c,yes,once,notify_me_once,other_two,no,always,noalways,others,0,1,3,2,cluster2
4,6840,e,k,once,f,b,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,3,2,cluster2
4,6850,g,p,continuous,b,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,3,2,cluster2
4,6860,b,h,continuous,c,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,3,2,cluster2
7,26190,b,u,once,b,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,4,1,cluster1
7,26200,d,w,once,d,c,yes,once,notify_me_once,other_two,yes,once,yesonce,others,2,5,5,4,cluster1
7,26210,e,x,continuous,e,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,3,1,cluster1
7,26220,d,i,continuous,c,b,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,4,2,cluster1
7,26230,b,g,continuous,a,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,2,1,cluster1
7,26240,c,h,once,b,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,2,1,cluster1
7,26250,e,d,once,d,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,2,2,cluster1
7,26260,a,f,once,f,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,2,1,cluster1
7,26270,g,l,once,f,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster1
7,26280,f,k,continuous,e,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster1
7,26290,f,y,once,f,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster1
7,26300,g,z,continuous,f,b,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster1
7,26310,a,t,continuous,a,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster1
7,26320,c,v,continuous,c,b,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster1
8,10090,g,w,continuous,c,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,5,3,cluster0
8,10100,c,e,once,e,c,no,blank,do_not_notify_me,other_two,yes,always,yesalways,yesalways,3,6,6,6,cluster0
